title,budget,age,mpaa
Jesus' Son,2.5,19,R
"Jimmy Show, The",1,17,R
Jing cha gu shi III: Chao ji jing cha,0.9,26,R
Jingle All the Way,60,22,PG
Jisatsu saakuru,0.25,16,R
Joe Dirt,16,17,PG-13
Joe Somebody,38,17,PG
Joe's Apartment,13,22,PG-13
John Q,36,16,PG-13
Johnny English,35,15,PG
Johnson Family Vacation,12,14,PG-13
Josie and the Pussycats,22,17,PG-13
Joy Ride,23,17,R
Judge Dredd,90,23,R
Judgment,11,17,PG-13
Jui kuen II,2,24,R
Julie Walking Home,5,16,R
Jumanji,65,23,PG
Jurassic Park III,93,17,PG-13
"Juror, The",44,22,R
Just Looking,3,19,R
Just the Ticket,12,19,R
Juwanna Mann,15.6,16,PG-13
K-19: The Widowmaker,100,16,PG-13
K-PAX,48,17,PG-13
Kama Sutra: A Tale of Love,3,22,R
Kangaroo Jack,60,15,PG
Kansas City,19,22,R
Karakter,4.5,21,R
Kate & Leopold,48,17,PG-13
Keane,0.85,14,R
Keeping the Faith,30,18,PG-13
Kejar Amerika,0.1,14,PG-13
Kicked in the Head,4,21,R
"Kid, The",65,18,PG
Kill Bill: Vol. 1,55,15,R
Kill Bill: Vol. 2,30,14,R
"Killer Eye, The",0.4,19,R
Killers,0.1,21,R
Killing Me Softly,25,16,R
Kimberly,2,19,R
King Arthur,90,14,R
Kingdom of Heaven,130,13,R
Kingpin,25,22,PG-13
Kinsey,11,14,R
Kiss of the Dragon,25,17,R
Kiss or Kill,2,21,R
Kiss the Girls,27,21,R
Kiss the Sky,6,19,R
"Kiss, The",0.006,14,PG-13
Kissing Jessica Stein,1,17,R
"Knight's Tale, A",41,17,PG-13
Knock Off,35,20,R
Kontroll,0.5,15,R
Kundun,28,21,PG-13
Kung Pow: Enter the Fist,10,16,PG-13
LD 50 Lethal Dose,8,15,R
Lady of the Lake,0.06,20,R
"Ladykillers, The",35,14,R
Lake Placid,27,19,R
Lana's Rain,0.215,16,R
Lara Croft Tomb Raider: The Cradle of Life,90,15,PG-13
Lara Croft: Tomb Raider,80,17,PG-13
Lashou shentan,4.5,26,R
"Last Castle, The",60,17,R
"Last Horror Movie, The",0.78,15,R
Last Man Standing,67,22,R
Last Orders,12,17,R
"Last Patrol, The",8.2,18,PG-13
"Last Picture Show, The",1.3,47,R
"Last Resort, The",5,21,PG-13
"Last Samurai, The",100,15,R
"Last Time I Committed Suicide, The",4,21,R
Latter Days,0.85,15,R
Lawn Dogs,8,21,R
Laws of Attraction,28,14,PG-13
"League of Extraordinary Gentlemen, The",78,15,PG-13
"Learning Curve, The",1,17,R
Leaving Las Vegas,4,23,R
Legally Blonde,18,17,PG-13
"Legally Blonde 2: Red, White & Blonde",45,15,PG-13
"Legend of Bagger Vance, The",60,18,PG-13
Legend of the Mummy,2,21,R
"Leggenda del pianista sull'oceano, La",9,20,R
Legion of the Dead,2.7,17,R
Legionnaire,35,20,R
Lemony Snicket's A Series of Unfortunate Events,125,14,PG
"Lengua asesina, La",4,22,R
Lethal Weapon 4,140,20,R
Levity,7.5,15,R
Liar Liar,45,21,PG-13
Liberty Stands Still,11,16,R
Life,75,19,R
"Life Aquatic with Steve Zissou, The",25,14,R
"Life Less Ordinary, A",12,21,R
Life as a House,18,17,R
"Life of David Gale, The",50,15,R
Light It Up,13,19,R
Like Mike,30,16,PG
Lilo & Stitch,80,16,PG
Limbo,8.3,19,R
"Limey, The",9,19,R
Little Black Book,35,14,PG-13
Little Nicky,80,18,PG-13
Little Secrets,2.5,17,PG
"Little Vampire, The",22,18,PG
Livers Ain't Cheap,2.5,21,R
Living Out Loud,12,20,R
"Lizzie McGuire Movie, The",17,15,PG
Lolita,58,21,R
Lone Star,5,22,R
"Long Kiss Goodnight, The",65,22,R
Looney Tunes: Back in Action,80,15,PG
"Lord of the Rings: The Fellowship of the Ring, The",93,17,PG-13
"Lord of the Rings: The Return of the King, The",94,15,PG-13
"Lord of the Rings: The Two Towers, The",94,16,PG-13
Loser,20,18,PG-13
Losing Isaiah,17,23,R
"Loss of Sexual Innocence, The",4,19,R
Lost Highway,15,21,R
Lost Souls,28,18,R
"Lost World: Jurassic Park, The",73,21,PG-13
Lost in Space,80,20,PG-13
Lost in Translation,4,15,R
"Lot Like Love, A",30,13,PG-13
Love & Basketball,15,18,PG-13
"Love Letter, The",15,19,PG-13
Love Liza,1,16,R
Love Object,1,15,R
Love Stinks,4,19,R
Love Story,2.2,48,PG
Love and Other Catastrophes,0.25,22,R
Love's Labour's Lost,13,18,PG
Lovely & Amazing,0.25,17,R
Lover Girl,1,21,R
Lucky 13,1.2,14,R
Lucky Break,6,17,PG-13
Lucky Numbers,65,18,R
Luminarias,1,18,R
"Lunes al sol, Los",4,16,R
MASH,3.5,48,R
Mad City,50,21,PG-13
Made,5,17,R
Madhouse,3,14,R
Madonna: Truth or Dare,4.5,27,R
Magnolia,37,19,R
Maid in Manhattan,55,16,PG-13
"Mailman, The",0.075,14,R
"Majestic, The",72,17,PG
Major Dundee,3.8,53,PG-13
Malibu's Most Wanted,16,15,PG-13
Mallrats,6.1,23,R
"Man Apart, A",36,15,R
"Man Who Wasn't There, The",20,17,R
"Man from Elysian Fields, The",6.5,17,R
"Man in the Iron Mask, The",35,20,PG-13
Man of the House,40,13,PG-13
Man on Fire,70,14,R
Man on the Moon,52,19,R
Man-Thing,30,13,R
Manny & Lo,0.5,22,R
"Maquinista, El",5,14,R
Marci X,20,15,R
Marilyn's Man,0.825,14,PG
Mars Attacks!,70,22,PG-13
Martin Lawrence Live: Runteldat,3,16,R
Marvin's Room,23,22,PG-13
Mary Reilly,47,22,R
"Mask of Zorro, The",65,20,PG-13
Master and Commander: The Far Side of the World,150,15,PG-13
"Master of Disguise, The",16,16,PG
Matilda,36,22,PG
"Matrix Reloaded, The",127,15,R
"Matrix Revolutions, The",110,15,R
"Matrix, The",63,19,R
Max Keeble's Big Move,12,17,PG
May,1.7,16,R
Mayerling,5,50,PG-13
McHale's Navy,42,21,PG
"Me, Myself & Irene",51,18,R
Mean Creek,0.5,14,R
Mean Girls,17,14,PG-13
"Medallion, The",41,15,PG-13
Meet Joe Black,90,20,PG-13
Meet the Deedles,24,20,PG
Meet the Fockers,80,14,PG-13
Meet the Parents,55,18,PG-13
Megiddo: The Omega Code 2,22,17,PG-13
Memento,5,18,R
Men in Black,90,21,PG-13
Men in Black II,140,16,PG-13
Men of Honor,32,18,R
Men of War,12,24,R
Men with Brooms,7.5,16,R
Menace II Society,3.5,25,R
"Merchant of Venice, The",30,14,R
Mercury Rising,60,20,R
Mercy Streets,0.6,18,PG-13
Message in a Bottle,30,19,PG-13
Metoroporisu,14.5,17,PG-13
Metro,55,21,R
"Mexican, The",38,17,R
Michael Moore Hates America,0.2,14,R
Mickey,6,14,PG
Mickey Blue Eyes,40,19,PG-13
Midnight in the Garden of Good and Evil,30,21,R
Mighty Aphrodite,15,23,R
Mighty Joe Young,49,20,PG
Million Dollar Baby,30,14,PG-13
"Million Dollar Hotel, The",8,18,R
Mimic,25,21,R
Mindhunters,27,14,R
"Minion, The",12,20,R
Minority Report,102,16,PG-13
"Mirror Has Two Faces, The",42,22,PG-13
Miss Congeniality,45,18,PG-13
Mission: Impossible,75,22,PG-13
Mission: Impossible II,125,18,PG-13
Modern Vampires,2,20,R
Modigliani,12,14,R
Molly,21,19,PG-13
"Molly Maguires, The",11,48,PG
Mona Lisa Smile,65,15,PG-13
Money Talks,25,21,R
Money Train,68,23,R
Monkeybone,75,17,PG-13
Monsoon Wife,1,14,R
Monster,8,15,R
Monster's Ball,4,17,R
Monster-in-Law,60,13,PG-13
Montana,4,20,R
Moonlight Mile,20,16,PG-13
Mortal Kombat,20,23,PG-13
Mortal Kombat: Annihilation,30,21,PG-13
Mosquito,0.2,23,R
Mother Night,5.5,22,R
"Mothman Prophecies, The",42,16,PG-13
Moulin Rouge!,52.5,17,PG-13
Mousehunt,38,21,PG
Mr 3000,30,14,PG-13
Mr. Deeds,50,16,PG-13
Mrs. Winterbourne,25,22,PG-13
"Mudge Boy, The",0.8,15,R
Muertos de risa,3.5,19,R
Mulholland Dr.,15,17,R
Multiplicity,45,22,PG-13
Mumford,28,19,R
"Mummy Returns, The",98,17,PG-13
"Mummy, The",76,19,PG-13
Murder by Numbers,50,16,R
Murders in the Rue Morgue,0.7,47,PG-13
Muriel's Wedding,3,24,R
"Muse, The",15,19,PG-13
Music of the Heart,27,19,PG
"Musketeer, The",40,17,PG-13
Mutant Aliens,0.2,17,R
Mutant Species,1.75,23,R
Mute Witness,2,24,R
My Best Friend's Wedding,46,21,PG-13
My Big Fat Greek Wedding,5,16,PG
My Boss's Daughter,14,15,R
My Cousin Vinny,11,26,R
My Dog Skip,7,18,PG
My Family,5.5,23,R
My Favorite Martian,60,19,PG
My Fellow Americans,21.5,22,PG-13
My Life's in Turnaround,0.022,25,R
My Little Eye,3,16,R
Mystery Men,68,19,PG-13
"Mystery, Alaska",28,19,R
"Mystic Masseur, The",2.5,17,PG
Mystic River,30,15,R
Nadie conoce a nadie,3,19,R
Nadja,1,24,R
Napoleon Dynamite,0.4,14,PG
Naqoyqatsi,3,16,PG
Narc,7.5,16,R
National Treasure,100,14,PG
Nattens engel,0.7,20,R
Naturally Native,0.7,20,PG-13
"Negotiator, The",50,20,R
Nemesis Game,3,15,R
"Net, The",22,23,PG-13
Never Again,0.5,17,R
"New Guy, The",13,16,PG-13
New Jersey Drive,5,23,R
"Newton Boys, The",27,20,PG-13
"Next Best Thing, The",25,18,PG-13
Next Friday,9.5,18,R
Next Stop Wonderland,1,20,R
Nicholas Nickleby,10,16,PG
Nil by Mouth,9,21,R
"Ninth Gate, The",38,19,R
Nixon,50,23,R
No Code of Conduct,12,20,R
No Looking Back,5,20,R
No Return,0.035,15,PG-13
No Way Home,4,22,R
No Witness,0.35,14,R
Nochnoy dozor,4.2,14,R
Northfork,1.9,15,PG-13
Not Another Teen Movie,16,17,R
"Notebook, The",30,14,PG-13
Notting Hill,42,19,PG-13
November,0.3,14,R
Novocaine,6,17,R
Nueve reinas,1.5,18,R
Nurse Betty,24,18,R
Nutty Professor II: The Klumps,84,18,PG-13
"Nutty Professor, The",54,22,PG-13
O,5,17,R
"O Brother, Where Art Thou?",26,18,PG-13
"Object of My Affection, The",15,20,R
Ocean's Eleven,85,17,PG-13
Ocean's Twelve,110,14,PG-13
Octane,11.5,15,R
Octopus,5,18,PG-13
Office Space,10,19,R
Old School,24,15,R
On the Border,3,20,R
On the Line,10,17,PG
Once Upon a Time in America,30,34,R
Once Upon a Time in Mexico,29,15,R
One Eight Seven,23,21,R
One Eyed King,6.5,17,R
One Hell of a Christmas,0.4,16,R
One Hour Photo,12,16,R
One Night Stand,24,21,R
One True Thing,30,20,R
Onegin,14,19,R
Open Range,26,15,R
Open Water,0.13,15,R
Orange County,18,16,PG-13
"Order, The",38,15,R
Original Gangstas,4.8,22,R
"Original Kings of Comedy, The",3,18,R
Original Sin,26,17,R
Osama,0.046,15,PG-13
Osmosis Jones,75,17,PG
Othello,11,23,R
"Other Side of Heaven, The",7,17,PG
"Others, The",17,17,PG-13
"Otra conquista, La",3.5,20,R
Out Cold,11,17,PG-13
Out for a Kill,20,15,R
Out of Reach,20,14,R
Out-of-Sync,1.5,23,R
"Out-of-Towners, The",40,19,PG-13
Outbreak,50,23,R
Outside Providence,7,19,R
"Outsiders, The",10,35,PG-13
Overnight Delivery,12,20,PG-13
Owning Mahowny,10,15,R
P.S. Your Cat Is Dead,2,16,R
"Pacifier, The",56,13,PG
"Packing Suburbia, A",0.04,19,R
Paint Your Wagon,20,49,PG-13
Pandaemonium,15,18,PG-13
Panic,1,18,R
Panic Room,48,16,R
Paparazzi,20,14,PG-13
Party Monster,5,15,R
"Passion of the Christ, The",30,14,R
Pat Garrett and Billy the Kid,4.638783,45,R
Patch Adams,50,20,PG-13
"Patriot, The",110,18,R
Pavilion of Women,5,17,R
Pay It Forward,40,18,PG-13
Payback,50,19,R
Paycheck,60,15,PG-13
"Peacekeeper, The",10,21,R
"Peacemaker, The",50,21,R
Pearl Harbor,135.25,17,R
Pecker,6,20,R
Pep Squad,0.5,20,R
"Perez Family, The",11,23,R
"Perfect Storm, The",120,18,PG-13
Perfect Target,3.5,21,R
"Pest, The",17,21,PG-13
Peter Pan,100,15,PG
Phantasm IV: Oblivion,0.65,20,R
"Phantom of the Opera, The",60,14,PG-13
"Phantom, The",45,22,PG
Phenomenon,32,22,PG
Phone Booth,10,16,R
Pi,0.06,20,R
"Pianist, The",35,16,R
Picture Perfect,19,21,PG-13
Pieces of April,0.3,15,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,125,15,PG-13
Pitch Black,23,18,R
Planet of the Apes,100,17,PG-13
Play It to the Bone,24,19,R
Playing by Heart,14,20,R
Pleasantville,40,20,PG-13
"Pledge, The",45,17,R
"Point Men, The",6.1,17,R
Pollock,6,18,R
Poolhall Junkies,4,16,R
Pootie Tang,3,17,PG-13
Possums,1.4,20,PG
"Postino, Il",3,24,PG
"Powerpuff Girls, The",10,16,PG
Practical Magic,60,20,PG-13
Price of Glory,10,18,PG-13
Primal Fear,30,22,R
Primary Colors,65,20,R
Primer,0.007,14,PG-13
"Prince of Egypt, The",60,20,PG
Private Parts,20,21,R
Progeny,2.5,20,R
Proof of Life,65,18,R
"Prophecy, The",8,23,R
Proximity,6,17,R
Prozac Nation,9,17,R
Psycho,20,20,R
Pulp Fiction,8,24,R
Punch-Drunk Love,25,16,R
"Punisher, The",33,14,R
Pushing Tin,33,19,R
Queen of the Damned,35,16,R
Queen's Messenger II,4,17,R
"Quiet American, The",30,16,R
"R.M., The",0.5,15,PG
Rabbit-Proof Fence,6,16,PG
Rachel's Attic,0.083,16,R
Radio,35,15,PG
"Rage: Carrie 2, The",21,19,R
"Rainbow Thief, The",10,28,R
"Rainmaker, The",40,21,PG-13
Raise Your Voice,15,14,PG
Raising Victor Vargas,0.8,16,R
Raising the Stakes,0.1,19,R
Rancid Aluminium,12,18,R
Random Hearts,64,19,R
Ransom,80,22,R
Rare Birds,5,17,R
Rat Race,48,17,PG-13
Ravenous,12,19,R
"Real Cancun, The",8,15,R
Real Women Have Curves,3,16,PG-13
Rebel Without a Cause,1.5,63,PG-13
"Red Baron, The",0.9,47,PG-13
Red Dragon,90,16,R
Red Planet,75,18,PG-13
Reign of Fire,95,16,PG-13
Reindeer Games,36,18,R
"Relic, The",40,21,R
Remember the Titans,30,18,PG
"Replacement Killers, The",30,20,R
"Replacements, The",50,18,PG-13
Repli-Kate,4,16,R
Requiem for a Dream,4.5,18,R
Reservoir Dogs,1.2,26,R
Resident Evil,35,16,R
Resident Evil: Apocalypse,50,14,R
Restoration,18,23,R
Resurrection Man,4,20,R
"Return of Dracula, The",0.125,60,PG
Return to Me,24,18,PG
Revelation,5,19,PG-13
Riders,15,16,R
Riding in Cars with Boys,48,17,PG-13
Riding the Bullet,5,14,R
"Ring, The",45,16,PG-13
Ripley's Game,30,16,R
Road Trip,15.6,18,R
"Road to El Dorado, The",95,18,PG
Road to Perdition,80,16,R
Rob Roy,28,23,R
Robots,75,13,PG
Rock 'n' Roll Frankenstein,0.25,19,R
Rock Star,38,17,R
"Rock, The",75,22,R
Rollerball,70,16,R
Romeo + Juliet,14.5,22,PG-13
Romeo Must Die,25,18,R
Ronin,55,20,R
"Room, The",6,15,R
Rosewood,31,21,R
Rounders,12,20,R
Route 666,2.3,17,R
"Royal Tenenbaums, The",21,17,R
Rugrats Go Wild!,25,15,PG
"Rules of Attraction, The",4,16,R
Rules of Engagement,60,18,R
Rumpelstiltskin,3,22,R
Runaway Bride,70,19,PG
Runaway Jury,60,15,PG-13
"Rundown, The",85,15,PG-13
Rush Hour,35,20,PG-13
Rush Hour 2,90,17,PG-13
Rushmore,10,20,R
Ryan's Daughter,15,48,R
S.W.A.T.,80,15,PG-13
Sabrina,58,23,PG
Safe Men,1,20,R
Sahara,130,13,PG-13
"Saint, The",70,21,PG-13
Saints and Soldiers,0.78,15,PG-13
"Salton Sea, The",18,16,R
Samsara,3,17,R
"Sand Pebbles, The",12,52,PG-13
Sangre eterna,0.025,16,R
Santa sangre,0.787,29,R
Saturn,0.35,19,R
Savage,5,23,R
Save the Last Dance,13,17,PG-13
Saved!,5,14,PG-13
Saving Private Ryan,70,20,R
Saving Silverman,22,17,R
Savior,10,20,R
Saw,1.2,14,R
Say It Isn't So,25,17,R
"Scarlet Letter, The",50,23,R
Scary Movie,19,18,R
Scary Movie 2,45,17,R
Scary Movie 3,45,15,PG-13
Schindler's List,25,25,R
"School of Rock, The",20,15,PG-13
Scooby-Doo,84,16,PG
"Score, The",68,17,R
"Scorpion King, The",60,16,PG-13
Scream,15,22,R
Scream 2,24,21,R
Scream 3,40,18,R
Screamers,11,23,R
Screwed,10,18,PG-13
Se7en,30,23,R
Sea Ghost,1.5,14,R
Seabiscuit,86,15,PG-13
Search and Destroy,4,23,R
Searching for Debra Winger,0.6,16,R
Secondhand Lions,30,15,PG
"Secret Kingdom, The",0.8,20,PG
Secret Window,40,14,PG-13
Secrets & Lies,4.5,22,R
See Spot Run,16,17,PG
Seed of Chucky,12,14,R
Selena,20,21,PG
Sense and Sensibility,16.5,23,PG
Serendipity,28,17,PG-13
Serial Mom,13,24,R
"Serpent's Kiss, The",13,21,R
Serpent's Lair,4,23,R
Serving Sara,29,16,PG-13
Session 9,1.5,17,R
Set It Off,9,22,R
Seven Years in Tibet,70,21,PG-13
Sgt. Bilko,39,22,PG
Shade,6.8,15,R
Shadow Conspiracy,45,21,R
Shaft,46,18,R
Shakes the Clown,1.4,26,R
Shakespeare in Love,25,20,R
Shall We Dance,40,14,PG-13
Shallow Grave,2.5,24,R
Shallow Hal,40,17,PG-13
Shanghai Knights,50,15,PG-13
Shanghai Noon,55,18,PG-13
"Shape of Things, The",4,15,R
Shark Tale,75,14,PG
Shattered Glass,6,15,PG-13
Shaun of the Dead,4,14,R
"Shawshank Redemption, The",25,24,R
She's All That,10,19,PG-13
She's So Lovely,18,21,R
She's the One,3.5,22,R
Shelter Island,5,15,R
Shine,5.5,22,PG-13
"Shipping News, The",35,17,R
Shooting Fish,3,21,PG
Shopping for Fangs,0.1,21,R
"Shot at Glory, A",9,18,R
Showtime,85,16,PG-13
Shrek,60,17,PG
Shrek 2,75,14,PG
"Shrink Is In, The",6,17,R
Shutter,0.015,17,R
Sidewalks of New York,1,17,R
Sideways,16,14,R
"Siege, The",70,20,R
Signs,72,16,PG-13
Silent Trigger,15,22,R
Simon Birch,20,20,PG
"Simple Plan, A",17,20,R
"Simple Wish, A",28,21,PG
Simply Irresistible,6,19,PG-13
Sin City,45.5,13,R
Sinbad: Legend of the Seven Seas,60,15,PG
"Singing Detective, The",10,15,R
"Singles Ward, The",0.5,16,PG
Siunin Wong Fei-hung tsi titmalau,2,25,PG-13
Six-String Samurai,2,20,PG-13
"Sixth Sense, The",55,19,PG-13
Skeletons in the Closet,1.5,18,R
Skin Deep,0.4,15,R
"Skulls, The",15,18,PG-13
Sky Captain and the World of Tomorrow,40,14,PG
Slackers,11,16,R
Slam,1,20,R
Slap Her... She's French,10,16,PG-13
Slashers,0.165,17,R
"Slaughter Rule, The",0.5,16,R
Sleepers,44,22,R
"Sleeping Dictionary, The",12,15,R
Sleepover,10,14,PG
Sleepy Hollow,65,19,R
Slums of Beverly Hills,5,20,R
Small Soldiers,40,20,PG-13
Small Time Crooks,18,18,PG
"Smile Like Yours, A",18,21,R
Smilla's Sense of Snow,35,21,R
Smoke,7,23,R
Smoke Signals,2,20,PG-13
Snake Eyes,73,20,R
Snatch.,10,18,R
Snitch,11,20,R
Snow Day,13,18,PG
Snow Dogs,35,16,PG
Snow Falling on Cedars,36,19,PG-13
Soho Square,0.007,18,R
Sol Goode,3,17,R
Solaris,47,16,PG-13
Soldier,75,20,R
Solitaire for 2,1.5,23,R
Someone Like You...,23,17,PG-13
Sometimes They Come Back... Again,3,22,R
Sometimes They Come Back... for More,2,19,R
Son of the Mask,74,13,PG
Songcatcher,1.8,18,PG-13
Sons of Provo,0.2,14,PG
Sorority Boys,12,16,R
Soul Assassin,7,17,R
Soul Food,7.5,21,R
Soul Plane,16,14,R
Soul Survivors,14,17,R
South Park: Bigger Longer & Uncut,21,19,R
Space Jam,80,22,PG
Space Truckers,25,22,PG-13
Spanglish,80,14,PG-13
Spanish Judges,3.5,19,R
Spawn,40,21,PG-13
Species,35,23,R
Speed,28,24,R
Speed 2: Cruise Control,110,21,PG-13
Speedway Junky,1,19,R
Sphere,80,20,PG-13
Spice World,25,21,PG
Spider,8,16,R
Spider-Man,139,16,PG-13
Spider-Man 2,200,14,PG-13
Spiders,2,18,R
"SpongeBob SquarePants Movie, The",30,14,PG
Spring Forward,2,19,R
Spun,2.8,16,R
Spy Game,92,17,R
Spy Hard,18,22,PG-13
Spy Kids 2: Island of Lost Dreams,39,16,PG
Spy Kids 3-D: Game Over,39,15,PG
"Stand-In, The",0.4,19,PG
Star Kid,12,21,PG
Star Trek: First Contact,45,22,PG-13
Star Trek: Insurrection,58,20,PG
Star Trek: Nemesis,70,16,PG-13
Star Trek: The Motion Picture,35,39,PG
Star Trek: The Wrath of Khan,11,36,PG
Star Wars,11,41,PG
Star Wars: Episode I - The Phantom Menace,115,19,PG
Star Wars: Episode II - Attack of the Clones,120,16,PG
Star Wars: Episode V - The Empire Strikes Back,18,38,PG
Star Wars: Episode VI - Return of the Jedi,32.5,35,PG
Stark Raving Mad,5,16,R
Starkweather,1,14,R
Starship Troopers,95,21,R
Starsky & Hutch,60,14,PG-13
"Statement, The",23,15,R
Stateside,16,14,R
"Station Agent, The",0.5,15,R
Steal Big Steal Little,35,23,PG-13
Stealing Harvard,25,16,PG-13
Steamboy,20,14,PG-13
Steel,16,21,PG-13
"Stepford Wives, The",90,14,PG-13
Stepmom,50,20,PG-13
Stigmata,32,19,R
Stir of Echoes,13,19,R
Stolen Summer,1.5,16,PG
"Story of Us, The",50,19,R
Strange Days,42,23,R
Strangeland,2,20,R
Strangers on a Train,1.2,67,PG
Stripes,10,37,R
Striptease,50,22,R
Stuart Little,103,19,PG
Stuart Little 2,120,16,PG
Sugar & Spice,11,17,PG-13
Sugar Town,0.25,19,R
Suicide Kings,5,21,R
"Sum of All Fears, The",68,16,PG-13
Summer Catch,17,17,PG-13
Summer of Sam,22,19,R
Sunshine State,5.6,16,PG-13
Super Size Me,0.3,14,PG-13
Super Troopers,3,17,R
Superman,55,40,PG
Superstar,14,19,PG-13
Surviving Picasso,16,22,R
Suspect Zero,27,14,R
Sweepers,12.5,19,R
Sweet Home Alabama,38,16,PG-13
Sweet November,40,17,PG-13
"Sweetest Thing, The",43,16,R
Swept Away,10,16,R
Swimfan,8.5,16,PG-13
Swimming with Sharks,0.7,24,R
Swingers,0.2,22,R
Swiri,5,19,R
Switchback,38,21,R
Swordfish,80,17,R
THX 1138,0.777,47,R
Tadpole,0.15,16,PG-13
Taegukgi hwinalrimyeo,12.8,14,R
"Tailor of Panama, The",18,17,R
Tale of the Mummy,8,20,R
"Talented Mr. Ripley, The",40,19,R
Tales from the Hood,6,23,R
Tank Girl,25,23,R
Targets,0.13,50,R
Tart,3.3,17,R
Tarzan and the Lost City,20,20,PG
"Taxman, The",1,19,R
Tea with Mussolini,12,19,PG
Teacher's Pet,10,14,PG
Teaching Mrs. Tingle,13,19,PG-13
Team America: World Police,30,14,R
Tears of the Sun,70,15,R
Ted Bundy,1.2,16,R
"Terminal, The",60,14,PG-13
Terminator 2: Judgment Day,100,27,R
Terminator 3: Rise of the Machines,175,15,R
Terror Tract,11,18,R
"Texas Chainsaw Massacre, The",9.2,15,R
Texas Rangers,38,17,PG-13
Theodore Rex,33,23,PG
There Goes My Baby,10.5,24,R
There's Something About Mary,23,20,R
They,17,16,PG-13
"Thin Line Between Love and Hate, A",8,22,R
"Thin Red Line, The",52,20,R
Things to Do in Denver When You're Dead,8,23,R
Thir13en Ghosts,20,17,R
Thirteen,1.5,15,R
Thirteen Conversations About One Thing,3,17,R
Thirteen Days,80,18,PG-13
"Thirteenth Floor, The",16,19,R
"Thomas Crown Affair, The",48,19,R
Three Kings,48,19,R
Three to Tango,20,19,PG-13
Thunderbirds,57,14,PG
Time Changer,0.825,16,PG
"Time Machine, The",80,16,PG-13
"Time to Kill, A",40,22,R
Timecode,4,18,R
Timeline,80,15,PG-13
Tin Cup,45,22,R
Titan A.E.,75,18,PG
Titanic,200,21,PG-13
Tomcats,11,17,R
Tomorrow Never Dies,110,21,PG-13
Torque,40,14,PG-13
"Touch, The",20,16,PG-13
Town & Country,90,17,R
Traffic,48,18,R
Training Day,45,17,R
Trainspotting,3.5,22,R
Trance,4,20,R
Trapped,30,16,R
Treasure Planet,140,16,PG
Trees Lounge,1.3,22,R
Trekkies,0.375,21,PG
"Trigger Effect, The",8,22,R
Triggermen,12,16,R
"Triplettes de Belleville, Les",8,15,PG-13
"Triumph of Love, The",5,17,PG-13
Trois,0.2,18,R
Trois 3: The Escort,1,14,R
Tromeo and Juliet,0.35,22,R
Troy,185,14,R
"Truman Show, The",60,20,PG
Tuck Everlasting,15,16,PG
Tumbleweeds,0.312,19,PG-13
"Tuxedo, The",60,16,PG-13
Twelve Monkeys,29,23,R
Twin Falls Idaho,0.5,19,R
Twin Peaks: Fire Walk with Me,10,26,R
Twist,0.35,15,R
Twister,92,22,PG-13
Two Can Play That Game,6,17,R
Two Weeks Notice,60,16,PG-13
U Turn,19,21,R
U-571,62,18,PG-13
U.S. Marshals,60,20,PG-13
Unbreakable,75,18,PG-13
Uncle Sam,2,21,R
Under Siege 2: Dark Territory,60,23,R
Under Suspicion,25,18,R
Under the Tuscan Sun,18,15,PG-13
Undercover Brother,25,16,PG-13
Undisputed,20,16,R
Unfaithful,50,16,R
Unforgettable,18,22,R
Unmade Beds,1,21,R
"Unsaid, The",22,17,R
Unstoppable,15,14,R
"Untold, The",3,16,R
Up Close & Personal,60,22,PG-13
"Upside of Anger, The",13.2,13,R
Urban Ghost Story,0.3,20,R
Urban Legend,14,20,R
Urban Legends: Final Cut,15,18,R
Urbania,0.225,18,R
"Usual Suspects, The",6,23,R
Utomlyonnye solntsem,2.8,24,R
Valentine,10,17,R
Vampire in Brooklyn,14,23,R
Vampires,20,20,R
Van Helsing,160,14,PG-13
Van Wilder,6,16,R
Vanilla Sky,68,17,R
Vanity Fair,23,14,PG-13
Varsity Blues,16,19,R
Vatel,36,18,PG-13
"Vault, The",0.1,13,PG-13
"Velocity of Gary, The",4,20,R
Veronica Guerin,17,15,R
Vertical Limit,75,18,PG-13
Very Bad Things,10,20,R
"Very Brady Sequel, A",15,22,PG-13
Village of the Damned,7,23,R
"Village, The",60,14,PG-13
"Violon rouge, Le",10,20,R
"Virgin Suicides, The",6,19,R
Virtuosity,30,23,R
Volcano,90,21,PG-13
Vor,2,21,R
Wag the Dog,15,21,R
Waiting for Guffman,4,22,R
Waiting to Exhale,15,23,R
Waking Ned,3,20,PG
"Walk in the Clouds, A",20,23,PG-13
"Walk on the Moon, A",14,19,R
"Walk to Remember, A",11,16,PG
Walking Across Egypt,4.5,19,PG-13
Walking Tall,56,14,PG-13
Walking and Talking,1,22,R
War and Peace,6,62,PG
Warriors of Virtue,35,21,PG
"Watcher, The",33,18,R
"Waterboy, The",23,20,PG-13
Waterworld,175,23,PG-13
"Way of the Gun, The",9,18,R
Way of the Vampire,1,13,R
We Don't Live Here Anymore,3,14,R
We Were Soldiers,75,16,R
"Wedding Date, The",15,13,PG-13
"Wedding Party, The",0.043,49,R
"Wedding Planner, The",35,17,PG-13
"Weight of Water, The",16,18,R
Welcome to Collinwood,12,16,R
Welcome to Mooseport,26,14,PG-13
Welcome to Sarajevo,9,21,R
